"method","model_type","transition","avg_abs_bias","avg_rmse"
"Cori","full","exposed_to_infected",1.31104959697253,1.41970122926864
"Wallinga-Teunis","full","exposed_to_infected",1.50036316937861,1.59119741729022
"ABM","full","exposed_to_infected",1.46412153006178,1.61604121563963
"Cori","full","susceptible_to_exposed",1.38995410783632,1.49897257251951
"ABM","full","susceptible_to_exposed",1.46412153006178,1.61604121563963
"Wallinga-Teunis","full","susceptible_to_exposed",1.58033232055826,1.66689720708332
"Cori","partial","exposed_to_infected",1.91899595677124,2.11143082994921
"Wallinga-Teunis","partial","exposed_to_infected",2.08950401019319,2.21934865231834
"ABM","partial","exposed_to_infected",2.23211279301783,2.40721708397006
"Cori","partial","susceptible_to_exposed",1.97134477373908,2.14822928108163
"Wallinga-Teunis","partial","susceptible_to_exposed",2.18939682190318,2.29708517351886
"ABM","partial","susceptible_to_exposed",2.23211279301783,2.40721708397006
