"combination","R0_value","model_type","transition","n_results","status"
"full_R0_1.5_susceptible_to_exposed",1.5,"full","susceptible_to_exposed",8640,"✅ Success"
"full_R0_2_susceptible_to_exposed",2,"full","susceptible_to_exposed",8640,"✅ Success"
"full_R0_3_susceptible_to_exposed",3,"full","susceptible_to_exposed",8614,"✅ Success"
"full_R0_5_susceptible_to_exposed",5,"full","susceptible_to_exposed",7401,"✅ Success"
"full_R0_1.5_exposed_to_infected",1.5,"full","exposed_to_infected",8640,"✅ Success"
"full_R0_2_exposed_to_infected",2,"full","exposed_to_infected",8640,"✅ Success"
"full_R0_3_exposed_to_infected",3,"full","exposed_to_infected",8622,"✅ Success"
"full_R0_5_exposed_to_infected",5,"full","exposed_to_infected",7566,"✅ Success"
"partial_R0_1.5_susceptible_to_exposed",1.5,"partial","susceptible_to_exposed",8638,"✅ Success"
"partial_R0_2_susceptible_to_exposed",2,"partial","susceptible_to_exposed",7919,"✅ Success"
"partial_R0_3_susceptible_to_exposed",3,"partial","susceptible_to_exposed",6836,"✅ Success"
"partial_R0_5_susceptible_to_exposed",5,"partial","susceptible_to_exposed",6101,"✅ Success"
"partial_R0_1.5_exposed_to_infected",1.5,"partial","exposed_to_infected",8637,"✅ Success"
"partial_R0_2_exposed_to_infected",2,"partial","exposed_to_infected",8031,"✅ Success"
"partial_R0_3_exposed_to_infected",3,"partial","exposed_to_infected",7040,"✅ Success"
"partial_R0_5_exposed_to_infected",5,"partial","exposed_to_infected",6369,"✅ Success"
